station;method;habitat;holothuria_leucospilota;holothuria_atra;holothuria_flavomaculata;holothuria_nobilis;holothuria_cinerascens;holothuria_verrucosa;holothuria_pervicax;synapta_maculata;actinopyga_mauritiana;actinopyga_echinites;actinopyga_apillata;bohadschia_vitiensis;stichopus_chloronotus;diadema_savignyi;echinothrix_diadema;echinometra_mathaei;stomopneustes_variolaris;echinothrix_calamaris;tripneustes_gratilla;toxopneustes_pileolus;heterocentrotus_mamillatus
93;fixe;platier_a_epandage_detritique;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;6;0;0;0;0;0
96;fixe;platier_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
95;fixe;platier_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0
92;fixe;platier_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0
68;fixe;platier_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
65;fixe;platier_a_colonies_coralliennes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0
67;fixe;platier_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0
94;fixe;platier_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
69;fixe;platier_a_epandage_detritique;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0
97;fixe;chenal_de_platier;0;0;1;0;0;0;0;0;0;0;0;0;4;1;0;1;0;0;0;0;0
70;fixe;chenal_de_platier;1;0;0;0;0;0;0;0;0;0;0;0;5;0;1;1;0;0;0;0;0
9;fixe;platier_a_colonies_coralliennes;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;9;0;0;0;0;0
14;fixe;platier_a_colonies_coralliennes;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0
98;fixe;chenal_de_platier;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0
77;fixe;chenal_de_platier;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0
73;fixe;chenal_de_platier;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;24;0;0;0;0;0
72;fixe;chenal_de_platier;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
84;fixe;dar_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
85;fixe;dar_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;fixe;dar_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;fixe;dar_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;fixe;dar_a_epandage_detritique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
